month,n_claims,n_directional,net_direction,share_worsen,share_improve,disagreement,hedge_rate,mean_horizon,share_named,share_expert,share_official,share_journalist,n_all_claims,n_pages,attention,m,rec,year,block,att_dm
1900-01,11.0,11.0,0.2727272727272727,0.3636363636363636,0.6363636363636364,0.7272727272727273,0.3636363636363636,7.0,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.7272727272727273,41,30,136.66666666666666,1900-01,False,1900,1899,-42.77352064708384
1900-02,17.0,17.0,0.2941176470588235,0.3529411764705882,0.6470588235294118,0.7058823529411764,0.5294117647058824,6.0,0.2941176470588235,0.4117647058823529,0.0588235294117647,0.4705882352941176,47,29,162.06896551724137,1900-02,False,1900,1899,-17.371221796509133
1900-03,28.0,27.0,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.2222222222222222,0.4285714285714285,6.0,0.3571428571428571,0.5,0.0714285714285714,0.4285714285714285,59,30,196.66666666666663,1900-03,False,1900,1899,17.22647935291613
1900-04,15.0,15.0,0.7333333333333333,0.1333333333333333,0.8666666666666667,0.2666666666666667,0.4666666666666667,12.0,0.4666666666666667,0.5333333333333333,0.0666666666666666,0.4,44,30,146.66666666666666,1900-04,False,1900,1899,-32.77352064708384
1900-05,31.0,29.0,0.4482758620689655,0.2758620689655172,0.7241379310344828,0.5517241379310345,0.2903225806451613,6.0,0.3548387096774194,0.4838709677419355,0.0,0.5161290322580645,57,29,196.55172413793105,1900-05,False,1900,1899,17.111536824180547
1900-06,26.0,26.0,0.2307692307692307,0.3846153846153846,0.6153846153846154,0.7692307692307692,0.3846153846153846,6.0,0.4615384615384615,0.4615384615384615,0.0769230769230769,0.4615384615384615,56,30,186.66666666666663,1900-06,False,1900,1899,7.2264793529161295
1900-07,11.0,11.0,0.0909090909090909,0.4545454545454545,0.5454545454545454,0.9090909090909092,0.1818181818181818,8.0,0.1818181818181818,0.4545454545454545,0.0,0.5454545454545454,52,30,173.33333333333334,1900-07,False,1900,1899,-6.106853980417156
1900-08,28.0,28.0,0.5714285714285714,0.2142857142857142,0.7857142857142857,0.4285714285714286,0.3214285714285714,12.0,0.25,0.2857142857142857,0.0,0.6428571428571429,59,29,203.44827586206895,1900-08,False,1900,1899,24.008088548318455
1900-09,24.0,22.0,0.0,0.5,0.5,1.0,0.5,12.0,0.2916666666666667,0.25,0.0416666666666666,0.7083333333333334,79,29,272.41379310344826,1900-09,False,1900,1899,92.97360578969776
1900-10,25.0,25.0,-0.04,0.52,0.48,0.96,0.32,9.0,0.36,0.2,0.24,0.56,35,29,120.6896551724138,1900-10,False,1900,1899,-58.750532141336706
1900-11,29.0,29.0,-0.5862068965517241,0.7931034482758621,0.2068965517241379,0.4137931034482759,0.1724137931034483,,0.3793103448275862,0.4137931034482758,0.0689655172413793,0.4482758620689655,44,30,146.66666666666666,1900-11,False,1900,1899,-32.77352064708384
1900-12,20.0,19.0,0.7894736842105263,0.1052631578947368,0.8947368421052632,0.2105263157894736,0.35,7.75,0.3,0.45,0.1,0.45,42,30,140.0,1900-12,False,1900,1899,-39.4401873137505
1901-01,18.0,18.0,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.3888888888888889,10.5,0.1111111111111111,0.2222222222222222,0.0,0.7777777777777778,49,27,181.4814814814815,1901-01,False,1901,1899,2.041294167730996
1901-02,23.0,23.0,-0.0434782608695652,0.5217391304347826,0.4782608695652174,0.9565217391304348,0.4347826086956521,12.0,0.3478260869565217,0.391304347826087,0.0434782608695652,0.5217391304347826,55,27,203.7037037037037,1901-02,False,1901,1899,24.263516389953196
1901-03,40.0,39.0,0.6923076923076923,0.1538461538461538,0.8461538461538461,0.3076923076923077,0.45,9.0,0.325,0.325,0.0,0.675,71,29,244.82758620689657,1901-03,False,1901,1899,65.38739889314607
1901-04,18.0,17.0,0.5294117647058824,0.2352941176470588,0.7647058823529411,0.4705882352941176,0.3888888888888889,12.0,0.2777777777777778,0.3888888888888889,0.0555555555555555,0.5,47,30,156.66666666666666,1901-04,False,1901,1899,-22.773520647083842
1901-05,24.0,23.0,0.0434782608695652,0.4782608695652174,0.5217391304347826,0.9565217391304348,0.5,4.5,0.2916666666666667,0.2083333333333333,0.1666666666666666,0.625,48,30,160.0,1901-05,False,1901,1899,-19.4401873137505
1901-06,30.0,29.0,0.5862068965517241,0.2068965517241379,0.7931034482758621,0.4137931034482759,0.4666666666666667,8.4,0.2,0.2,0.2333333333333333,0.3666666666666666,66,30,220.0,1901-06,False,1901,1899,40.5598126862495
1901-07,21.0,21.0,0.0476190476190476,0.4761904761904761,0.5238095238095238,0.9523809523809524,0.3809523809523809,12.0,0.3333333333333333,0.2857142857142857,0.0952380952380952,0.6190476190476191,57,30,190.0,1901-07,False,1901,1899,10.5598126862495
1901-08,16.0,16.0,0.0,0.5,0.5,1.0,0.5,12.0,0.0625,0.0625,0.0,0.9375,47,29,162.06896551724137,1901-08,False,1901,1899,-17.371221796509133
1901-09,27.0,26.0,0.2307692307692307,0.3846153846153846,0.6153846153846154,0.7692307692307692,0.4814814814814814,12.0,0.3703703703703703,0.4074074074074074,0.074074074074074,0.4444444444444444,39,30,130.0,1901-09,False,1901,1899,-49.4401873137505
1901-10,24.0,24.0,0.4166666666666667,0.2916666666666667,0.7083333333333334,0.5833333333333333,0.5,6.0,0.2916666666666667,0.3333333333333333,0.0,0.6666666666666666,50,29,172.41379310344828,1901-10,False,1901,1899,-7.026394210302215
1901-11,27.0,24.0,0.5,0.25,0.75,0.5,0.4814814814814814,10.0,0.4444444444444444,0.5185185185185185,0.0,0.4814814814814814,59,30,196.66666666666663,1901-11,False,1901,1899,17.22647935291613
1901-12,25.0,23.0,0.4782608695652174,0.2608695652173913,0.7391304347826086,0.5217391304347826,0.48,7.5,0.08,0.28,0.0,0.68,60,29,206.8965517241379,1901-12,False,1901,1899,27.45636441038741
1902-01,30.0,30.0,0.4,0.3,0.7,0.6,0.3666666666666666,10.166666666666666,0.2,0.3,0.1333333333333333,0.5666666666666667,76,30,253.33333333333337,1902-01,False,1902,1902,68.59372782744435
1902-02,12.0,11.0,0.4545454545454545,0.2727272727272727,0.7272727272727273,0.5454545454545454,0.5,12.0,0.3333333333333333,0.5833333333333334,0.0833333333333333,0.25,46,30,153.33333333333334,1902-02,False,1902,1902,-31.406272172555674
1902-03,10.0,10.0,0.6,0.2,0.8,0.4,0.1,,0.5,0.8,0.1,0.1,35,27,129.62962962962962,1902-03,False,1902,1902,-55.1099758762594
1902-04,20.0,20.0,0.9,0.05,0.95,0.0999999999999999,0.3,12.0,0.05,0.05,0.0,0.95,54,30,180.0,1902-04,False,1902,1902,-4.739605505889017
1902-05,21.0,21.0,0.0476190476190476,0.4761904761904761,0.5238095238095238,0.9523809523809524,0.4285714285714285,6.0,0.3333333333333333,0.2857142857142857,0.0952380952380952,0.4761904761904761,44,29,151.72413793103448,1902-05,False,1902,1902,-33.01546757485454
1902-06,26.0,26.0,0.6153846153846154,0.1923076923076923,0.8076923076923077,0.3846153846153846,0.3461538461538461,10.5,0.4230769230769231,0.6153846153846154,0.0384615384615384,0.3461538461538461,63,29,217.24137931034485,1902-06,False,1902,1902,32.50177380445584
1902-07,28.0,28.0,0.5714285714285714,0.2142857142857142,0.7857142857142857,0.4285714285714286,0.2857142857142857,13.5,0.2857142857142857,0.3571428571428571,0.0357142857142857,0.6071428571428571,58,29,200.0,1902-07,False,1902,1902,15.260394494110983
1902-08,14.0,14.0,1.0,0.0,1.0,0.0,0.5714285714285714,12.0,0.7142857142857143,0.7857142857142857,0.0,0.2142857142857142,48,29,165.51724137931035,1902-08,False,1902,1902,-19.222364126578668
1902-09,16.0,15.0,0.6,0.2,0.8,0.4,0.1875,4.5,0.125,0.5,0.0,0.5,39,29,134.48275862068965,1902-09,True,1902,1902,-50.256846885199366
1902-10,20.0,20.0,0.3,0.35,0.65,0.7,0.4,12.0,0.45,0.15,0.25,0.55,51,30,170.0,1902-10,True,1902,1902,-14.739605505889017
1902-11,13.0,12.0,0.5,0.25,0.75,0.5,0.3846153846153846,13.5,0.3076923076923077,0.1538461538461538,0.1538461538461538,0.6923076923076923,36,30,120.0,1902-11,True,1902,1902,-64.73960550588902
1902-12,31.0,30.0,0.2666666666666666,0.3666666666666666,0.6333333333333333,0.7333333333333334,0.4193548387096774,8.714285714285714,0.1935483870967742,0.2903225806451613,0.0,0.7096774193548387,63,30,210.0,1902-12,True,1902,1902,25.260394494110983
1903-01,21.0,21.0,0.7142857142857143,0.1428571428571428,0.8571428571428571,0.2857142857142857,0.238095238095238,12.0,0.3809523809523809,0.3333333333333333,0.1904761904761904,0.4761904761904761,45,30,150.0,1903-01,True,1903,1902,-34.73960550588902
1903-02,34.0,33.0,0.4545454545454545,0.2727272727272727,0.7272727272727273,0.5454545454545454,0.4117647058823529,6.166666666666667,0.1176470588235294,0.088235294117647,0.0,0.9117647058823528,68,30,226.66666666666663,1903-02,True,1903,1902,41.92706116077761
1903-03,16.0,15.0,0.2,0.4,0.6,0.8,0.5,8.0,0.3125,0.375,0.0,0.5625,49,30,163.33333333333334,1903-03,True,1903,1902,-21.406272172555674
1903-04,19.0,18.0,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.4210526315789473,12.0,0.3684210526315789,0.4736842105263157,0.0526315789473684,0.4736842105263157,44,29,151.72413793103448,1903-04,True,1903,1902,-33.01546757485454
1903-05,20.0,18.0,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.5,7.75,0.2,0.35,0.0,0.6,51,30,170.0,1903-05,True,1903,1902,-14.739605505889017
1903-06,22.0,21.0,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.4545454545454545,6.0,0.3181818181818182,0.2727272727272727,0.1363636363636363,0.5909090909090909,49,30,163.33333333333334,1903-06,True,1903,1902,-21.406272172555674
1903-07,44.0,44.0,0.5454545454545454,0.2272727272727272,0.7727272727272727,0.4545454545454546,0.4090909090909091,9.75,0.4545454545454545,0.4772727272727273,0.0227272727272727,0.5,71,30,236.66666666666663,1903-07,True,1903,1902,51.92706116077761
1903-08,32.0,32.0,0.5,0.25,0.75,0.5,0.5,6.0,0.21875,0.25,0.0625,0.65625,74,30,246.66666666666663,1903-08,True,1903,1902,61.92706116077761
1903-09,38.0,37.0,0.7837837837837838,0.1081081081081081,0.8918918918918919,0.2162162162162162,0.131578947368421,6.0,0.4736842105263157,0.5789473684210527,0.0,0.4210526315789473,68,30,226.66666666666663,1903-09,True,1903,1902,41.92706116077761
1903-10,21.0,21.0,-0.0476190476190476,0.5238095238095238,0.4761904761904761,0.9523809523809524,0.4761904761904761,8.0,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.2857142857142857,48,30,160.0,1903-10,True,1903,1902,-24.739605505889017
1903-11,19.0,18.0,0.4444444444444444,0.2777777777777778,0.7222222222222222,0.5555555555555556,0.3684210526315789,8.0,0.631578947368421,0.5789473684210527,0.0526315789473684,0.3684210526315789,64,29,220.68965517241375,1903-11,True,1903,1902,35.950049666524734
1903-12,35.0,33.0,0.696969696969697,0.1515151515151515,0.8484848484848485,0.303030303030303,0.4857142857142857,10.714285714285714,0.3428571428571428,0.4285714285714285,0.0285714285714285,0.5428571428571428,83,30,276.6666666666667,1903-12,True,1903,1902,91.92706116077767
1904-01,35.0,35.0,0.9428571428571428,0.0285714285714285,0.9714285714285714,0.0571428571428571,0.4285714285714285,10.8,0.3428571428571428,0.3428571428571428,0.0285714285714285,0.6285714285714286,71,29,244.82758620689657,1904-01,True,1904,1902,60.08798070100755
1904-02,14.0,14.0,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.8571428571428572,0.5,,0.3571428571428571,0.5,0.0,0.4285714285714285,47,30,156.66666666666666,1904-02,True,1904,1902,-28.07293883922236
1904-03,18.0,17.0,0.8823529411764706,0.0588235294117647,0.9411764705882352,0.1176470588235294,0.3333333333333333,,0.2777777777777778,0.2222222222222222,0.0555555555555555,0.6111111111111112,47,30,156.66666666666666,1904-03,True,1904,1902,-28.07293883922236
1904-04,24.0,24.0,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.5,8.571428571428571,0.2916666666666667,0.2916666666666667,0.0833333333333333,0.5416666666666666,58,30,193.33333333333337,1904-04,True,1904,1902,8.593727827444354
1904-05,18.0,17.0,0.2941176470588235,0.3529411764705882,0.6470588235294118,0.7058823529411764,0.3333333333333333,8.0,0.2777777777777778,0.2222222222222222,0.0,0.6111111111111112,43,30,143.33333333333334,1904-05,True,1904,1902,-41.406272172555674
1904-06,24.0,24.0,0.5833333333333334,0.2083333333333333,0.7916666666666666,0.4166666666666666,0.375,9.0,0.4166666666666667,0.4166666666666667,0.0416666666666666,0.5,50,30,166.66666666666666,1904-06,True,1904,1902,-18.07293883922236
1904-07,49.0,49.0,0.3877551020408163,0.3061224489795918,0.6938775510204082,0.6122448979591837,0.2857142857142857,11.25,0.3877551020408163,0.4897959183673469,0.0,0.4693877551020408,65,30,216.66666666666663,1904-07,True,1904,1902,31.927061160777612
1904-08,25.0,25.0,0.36,0.32,0.68,0.64,0.32,12.0,0.4,0.28,0.04,0.68,61,29,210.3448275862069,1904-08,True,1904,1902,25.605222080317873
1904-09,23.0,21.0,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.3043478260869565,6.0,0.217391304347826,0.0869565217391304,0.1304347826086956,0.782608695652174,48,27,177.77777777777777,1904-09,False,1904,1902,-6.9618277281112455
1904-10,40.0,39.0,0.282051282051282,0.358974358974359,0.6410256410256411,0.717948717948718,0.35,8.8,0.325,0.35,0.075,0.525,67,30,223.33333333333337,1904-10,False,1904,1902,38.593727827444354
1904-11,12.0,12.0,0.8333333333333334,0.0833333333333333,0.9166666666666666,0.1666666666666666,0.5833333333333334,6.0,0.25,0.0833333333333333,0.3333333333333333,0.5833333333333334,29,29,100.0,1904-11,False,1904,1902,-84.73960550588902
1904-12,29.0,28.0,0.7142857142857143,0.1428571428571428,0.8571428571428571,0.2857142857142857,0.3793103448275862,8.333333333333334,0.1724137931034483,0.1724137931034483,0.0,0.8275862068965517,55,30,183.33333333333337,1904-12,False,1904,1902,-1.4062721725556457
1905-01,22.0,19.0,0.6842105263157895,0.1578947368421052,0.8421052631578947,0.3157894736842105,0.3181818181818182,9.0,0.5,0.3636363636363636,0.1363636363636363,0.5,41,30,136.66666666666666,1905-01,False,1905,1905,-47.95640027632365
1905-02,17.0,16.0,0.5,0.25,0.75,0.5,0.2352941176470588,8.333333333333334,0.0588235294117647,0.0588235294117647,0.0,0.9411764705882352,40,28,142.85714285714286,1905-02,False,1905,1905,-41.765924085847445
1905-03,14.0,14.0,0.0,0.5,0.5,1.0,0.5,7.5,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.5714285714285714,48,28,171.42857142857142,1905-03,False,1905,1905,-13.19449551441889
1905-04,17.0,16.0,0.875,0.0625,0.9375,0.125,0.2941176470588235,9.0,0.3529411764705882,0.2941176470588235,0.0588235294117647,0.6470588235294118,41,26,157.69230769230768,1905-04,False,1905,1905,-26.930759250682627
1905-05,17.0,16.0,0.25,0.375,0.625,0.75,0.5294117647058824,6.0,0.2941176470588235,0.4117647058823529,0.0588235294117647,0.5294117647058824,59,26,226.92307692307693,1905-05,False,1905,1905,42.30000998008663
1905-06,9.0,9.0,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.6666666666666666,,0.4444444444444444,0.4444444444444444,0.0,0.5555555555555556,40,29,137.93103448275863,1905-06,False,1905,1905,-46.69203246023167
1905-07,19.0,19.0,0.3684210526315789,0.3157894736842105,0.6842105263157895,0.631578947368421,0.5789473684210527,3.5,0.3157894736842105,0.3157894736842105,0.0,0.5789473684210527,44,27,162.96296296296296,1905-07,False,1905,1905,-21.660103980027344
1905-08,15.0,15.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666667,0.4666666666666667,12.0,0.4,0.2666666666666666,0.2666666666666666,0.4666666666666667,48,25,192.0,1905-08,False,1905,1905,7.376933057009694
1905-09,35.0,34.0,0.5294117647058824,0.2352941176470588,0.7647058823529411,0.4705882352941176,0.3142857142857143,11.142857142857142,0.2857142857142857,0.4,0.0285714285714285,0.5142857142857142,69,30,230.0,1905-09,False,1905,1905,45.376933057009694
1905-10,35.0,35.0,-0.3142857142857143,0.6571428571428571,0.3428571428571428,0.6857142857142857,0.3428571428571428,8.571428571428571,0.5428571428571428,0.4857142857142857,0.0571428571428571,0.2571428571428571,54,27,200.0,1905-10,False,1905,1905,15.376933057009694
1905-11,21.0,19.0,0.3684210526315789,0.3157894736842105,0.6842105263157895,0.631578947368421,0.5238095238095238,6.0,0.3809523809523809,0.4761904761904761,0.0476190476190476,0.3809523809523809,44,21,209.52380952380952,1905-11,False,1905,1905,24.900742580819212
1905-12,34.0,34.0,0.4117647058823529,0.2941176470588235,0.7058823529411765,0.5882352941176471,0.5294117647058824,11.0,0.3529411764705882,0.3235294117647059,0.0588235294117647,0.5294117647058824,69,29,237.93103448275863,1905-12,False,1905,1905,53.30796753976833
