_m,n_all,imp,wor,n_dir,disag_A,disag_B
1903-07,36,30,6,36,0.33333333333333326,0.33333333333333326
1903-08,32,24,8,32,0.5,0.5
1903-09,34,30,3,33,0.23529411764705888,0.18181818181818188
1903-10,16,6,10,16,0.75,0.75
1903-11,11,8,3,11,0.5454545454545454,0.5454545454545454
1903-12,31,26,3,29,0.32258064516129026,0.2068965517241379
1904-01,27,27,0,27,0.0,0.0
1904-02,11,7,4,11,0.7272727272727273,0.7272727272727273
1904-03,13,12,1,13,0.15384615384615374,0.15384615384615374
1904-04,20,18,2,20,0.19999999999999996,0.19999999999999996
1904-05,14,8,5,13,0.8571428571428572,0.7692307692307692
1904-06,19,16,3,19,0.3157894736842106,0.3157894736842106
1904-07,37,29,8,37,0.43243243243243246,0.43243243243243246
1904-08,16,14,2,16,0.25,0.25
1904-09,18,11,5,16,0.7777777777777777,0.625
1904-10,35,22,13,35,0.7428571428571429,0.7428571428571429
1904-11,10,10,0,10,0.0,0.0
1904-12,22,18,3,21,0.36363636363636354,0.2857142857142858
1905-01,20,16,2,18,0.3999999999999999,0.22222222222222232
1905-02,11,7,3,10,0.7272727272727273,0.6000000000000001
1905-03,12,6,6,12,1.0,1.0
1905-04,16,15,1,16,0.125,0.125
1905-05,16,11,5,16,0.625,0.625
1905-06,9,7,2,9,0.4444444444444444,0.4444444444444444
1905-07,15,10,5,15,0.6666666666666667,0.6666666666666667
1905-08,12,9,3,12,0.5,0.5
1905-09,27,22,4,26,0.37037037037037046,0.3076923076923077
1905-10,31,10,21,31,0.6451612903225806,0.6451612903225806
1905-11,14,9,4,13,0.7142857142857142,0.6153846153846154
1905-12,20,14,6,20,0.6000000000000001,0.6000000000000001
1906-01,27,19,7,26,0.5925925925925926,0.5384615384615385
1906-02,13,11,2,13,0.3076923076923077,0.3076923076923077
1906-03,22,16,6,22,0.5454545454545454,0.5454545454545454
1906-04,12,12,0,12,0.0,0.0
1906-05,12,12,0,12,0.0,0.0
1906-06,11,5,6,11,0.9090909090909091,0.9090909090909091
1906-07,26,22,3,25,0.3076923076923077,0.24
1906-08,17,10,7,17,0.8235294117647058,0.8235294117647058
1906-09,15,10,5,15,0.6666666666666667,0.6666666666666667
1906-10,23,17,5,22,0.5217391304347827,0.4545454545454546
1906-11,17,11,3,14,0.7058823529411764,0.4285714285714286
1906-12,24,18,6,24,0.5,0.5
1907-01,24,21,3,24,0.25,0.25
1907-02,20,11,8,19,0.8999999999999999,0.8421052631578947
1907-03,16,9,6,15,0.875,0.8
1907-04,31,22,7,29,0.5806451612903225,0.48275862068965525
1907-05,21,12,9,21,0.8571428571428572,0.8571428571428572
1907-06,23,12,10,22,0.9565217391304348,0.9090909090909092
1907-07,16,14,1,15,0.25,0.1333333333333333
1907-08,25,18,6,24,0.56,0.5
1907-09,31,19,10,29,0.7741935483870968,0.6896551724137931
1907-10,30,21,7,28,0.6000000000000001,0.5
1907-11,39,35,4,39,0.20512820512820507,0.20512820512820507
1907-12,15,10,4,14,0.6666666666666667,0.5714285714285714
1908-01,19,18,1,19,0.10526315789473695,0.10526315789473695
1908-02,14,13,1,14,0.1428571428571428,0.1428571428571428
1908-03,17,15,2,17,0.23529411764705888,0.23529411764705888
1908-04,10,9,1,10,0.19999999999999996,0.19999999999999996
1908-05,22,21,0,21,0.09090909090909083,0.0
1908-06,16,14,2,16,0.25,0.25
1908-07,27,22,5,27,0.37037037037037046,0.37037037037037046
1908-08,24,20,4,24,0.33333333333333326,0.33333333333333326
1908-09,13,13,0,13,0.0,0.0
1908-10,38,30,7,37,0.42105263157894735,0.3783783783783783
1908-11,22,21,1,22,0.09090909090909083,0.09090909090909083
1908-12,14,11,3,14,0.4285714285714286,0.4285714285714286
1909-01,24,20,2,22,0.33333333333333326,0.18181818181818188
1909-02,12,8,4,12,0.6666666666666667,0.6666666666666667
1909-03,17,12,5,17,0.588235294117647,0.588235294117647
1909-04,32,31,1,32,0.0625,0.0625
1909-05,26,26,0,26,0.0,0.0
1909-06,11,7,3,10,0.7272727272727273,0.6000000000000001
1909-07,17,15,2,17,0.23529411764705888,0.23529411764705888
1909-08,24,23,1,24,0.08333333333333326,0.08333333333333326
1909-09,24,10,14,24,0.8333333333333334,0.8333333333333334
1909-10,18,14,3,17,0.4444444444444444,0.3529411764705883
1909-11,14,11,3,14,0.4285714285714286,0.4285714285714286
1909-12,17,12,5,17,0.588235294117647,0.588235294117647
1910-01,16,15,1,16,0.125,0.125
1910-02,19,14,3,17,0.5263157894736843,0.3529411764705883
1910-03,17,15,2,17,0.23529411764705888,0.23529411764705888
1910-04,12,10,2,12,0.33333333333333326,0.33333333333333326
1910-05,22,20,2,22,0.18181818181818188,0.18181818181818188
1910-06,21,17,3,20,0.38095238095238093,0.30000000000000004
1910-07,23,18,4,22,0.4347826086956521,0.36363636363636354
1910-08,24,17,7,24,0.5833333333333333,0.5833333333333333
1910-09,11,9,2,11,0.36363636363636354,0.36363636363636354
1910-10,15,13,2,15,0.2666666666666666,0.2666666666666666
1910-11,9,5,4,9,0.8888888888888888,0.8888888888888888
1910-12,30,18,9,27,0.8,0.6666666666666667
1911-01,24,19,5,24,0.41666666666666674,0.41666666666666674
1911-02,16,16,0,16,0.0,0.0
1911-03,11,9,1,10,0.36363636363636354,0.19999999999999996
1911-04,22,20,1,21,0.18181818181818188,0.09523809523809534
1911-05,26,24,2,26,0.15384615384615374,0.15384615384615374
1911-06,4,3,1,4,0.5,0.5
1911-07,11,7,2,9,0.7272727272727273,0.4444444444444444
1911-08,13,12,1,13,0.15384615384615374,0.15384615384615374
1911-09,18,15,3,18,0.33333333333333326,0.33333333333333326
1911-10,10,10,0,10,0.0,0.0
1911-11,10,5,5,10,1.0,1.0
1911-12,29,26,2,28,0.2068965517241379,0.1428571428571428
1912-01,30,22,7,29,0.5333333333333334,0.48275862068965525
