source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1970-07-15,+1..+4Q,2.9,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1970
greenbook,fed_staff,general_business,1970-08-12,+1..+4Q,3.1,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1970
greenbook,fed_staff,general_business,1970-09-09,+1..+4Q,3.133333333333333,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1970
greenbook,fed_staff,general_business,1970-10-14,+1..+4Q,2.85,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1970
greenbook,fed_staff,general_business,1970-11-11,+1..+4Q,4.824999999999999,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1970
greenbook,fed_staff,general_business,1970-12-09,+1..+4Q,5.5249999999999995,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1970
greenbook,fed_staff,general_business,1971-01-06,+1..+4Q,3.5666666666666664,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-02-03,+1..+4Q,4.166666666666667,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-03-03,+1..+4Q,4.233333333333333,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-03-31,+1..+4Q,4.166666666666667,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-04-28,+1..+4Q,3.95,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-06-02,+1..+4Q,4.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-06-23,+1..+4Q,4.875,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-07-21,+1..+4Q,6.3999999999999995,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-08-20,+1..+4Q,7.5,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-09-15,+1..+4Q,8.233333333333333,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-10-13,+1..+4Q,10.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-11-10,+1..+4Q,8.65,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1971-12-08,+1..+4Q,9.525,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1971
greenbook,fed_staff,general_business,1972-01-07,+1..+4Q,9.133333333333333,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-02-09,+1..+4Q,8.966666666666667,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-03-15,+1..+4Q,8.633333333333333,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-04-12,+1..+4Q,9.65,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-05-17,+1..+4Q,10.3,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-06-14,+1..+4Q,9.9,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-07-12,+1..+4Q,9.7,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-08-09,+1..+4Q,7.85,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-09-13,+1..+4Q,9.7,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
