date,block,hit,claim,econ,additive,full
1900-01-20,1899,1,0.5803736756882535,0.5763345586278241,0.6329852518861251,0.7696090973210017
1900-02-26,1899,0,0.3547765223156185,0.5413829001048659,0.3763707088910554,0.1321864432085496
1900-03-20,1899,1,0.5923503285166541,0.6244963509435176,0.6863020642957938,0.8356627873213592
1900-03-31,1899,1,0.5243815360199814,0.6244963509435176,0.6141246146798263,0.8000776736237837
1900-03-19,1899,1,0.503621175498417,0.6244963509435176,0.6168717941171219,0.7932881964250035
1900-03-19,1899,1,0.5087123238576287,0.6244963509435176,0.6190817845087381,0.7947235764480588
1900-03-26,1899,1,0.5830769024480982,0.6244963509435176,0.6814640020231707,0.8389669647364151
1900-03-26,1899,1,0.5665306861136259,0.6244963509435176,0.6680893251197463,0.8252036021837378
1900-02-22,1899,0,0.46242865197517713,0.5413829001048659,0.4830622339921721,0.18544532108036602
1900-02-22,1899,0,0.3943367992665456,0.5413829001048659,0.40556653268296894,0.14663822049468656
1900-05-31,1899,1,0.49269144647243923,0.48220815693784724,0.458885860027358,0.5206296051213573
1900-04-30,1899,1,0.5871223475083525,0.47716112649767045,0.5349246160337532,0.5853189060250125
1900-05-09,1899,0,0.46145840367073887,0.48220815693784724,0.4136080083043443,0.2584610516811188
1900-05-27,1899,0,0.16605534029984523,0.48220815693784724,0.15382881521073258,0.1421590094702395
1900-05-27,1899,1,0.5793713669131983,0.48220815693784724,0.5454985751611282,0.5981949252637576
1900-04-21,1899,1,0.5965336422592993,0.47716112649767045,0.5435107027051249,0.5876407189570323
1900-04-21,1899,1,0.50135679507541,0.47716112649767045,0.4688298805047947,0.522835450231653
1900-06-15,1899,1,0.5879201965922064,0.5074788591855595,0.5755485062435526,0.6534778484574074
1900-06-27,1899,1,0.4787138727726676,0.5074788591855595,0.48784444794070153,0.5750541542102198
1900-06-30,1899,0,0.45017362722965354,0.5074788591855595,0.43944700889019384,0.22383463377267163
1900-06-30,1899,1,0.5790648223735049,0.5074788591855595,0.5688657032458908,0.6444397856435398
1900-07-12,1899,0,0.4582433031760078,0.506167704421579,0.43809709599339564,0.23264931053105517
1900-07-21,1899,1,0.5003617707515247,0.506167704421579,0.4822382546880219,0.5661092955725265
1900-09-06,1899,1,0.5907526861772087,0.48764914151457506,0.553864993937895,0.6086978658728331
1900-08-10,1899,1,0.5277307236488837,0.5002565102790363,0.484863017910915,0.5536997240636907
1900-08-10,1899,1,0.533264872425965,0.5002565102790363,0.4874140922342572,0.5560643000674395
1900-08-25,1899,1,0.5692569041083378,0.5002565102790363,0.5431926133332003,0.6096837505180672
1900-07-13,1899,1,0.5826711817214324,0.506167704421579,0.5691885545257089,0.6432713231384307
1900-08-27,1899,0,0.45430174149069813,0.5002565102790363,0.43389078819845056,0.23569386952876623
1900-08-27,1899,1,0.4893494503996614,0.5002565102790363,0.4851780680852245,0.5640543621574571
1900-08-22,1899,1,0.5584857008076262,0.5002565102790363,0.5545231396025285,0.6269806998899693
1900-08-22,1899,1,0.4730129766352043,0.5002565102790363,0.46125880512410444,0.5342612324749458
1900-08-22,1899,0,0.3497484168594769,0.5002565102790363,0.34024051230765573,0.174954520627485
1900-08-22,1899,0,0.37194376010733254,0.5002565102790363,0.3604994701802483,0.18767137968066047
1900-09-29,1899,1,0.4907376171029171,0.48764914151457506,0.47263806624886967,0.5373447610005313
1900-10-23,1899,0,0.45567920546063917,0.5073034009835604,0.4417828967420938,0.2257563372410043
1900-10-29,1899,0,0.3687827686749851,0.5073034009835604,0.3683361060464575,0.1816115060295996
1900-09-02,1899,0,0.40760187348567845,0.48764914151457506,0.39273483501681605,0.24310483506642844
1900-09-02,1899,0,0.405814712681355,0.48764914151457506,0.3919232845548564,0.24251811605978205
1900-11-02,1899,0,0.4729807930161186,0.49320783992423645,0.430036440110876,0.24504229879005993
1900-11-02,1899,0,0.47022862518246794,0.49320783992423645,0.43633506464098015,0.24522293225297928
1900-11-02,1899,0,0.46119563756153287,0.49320783992423645,0.4297802714884985,0.24860532787905848
1900-11-02,1899,0,0.4723376140724144,0.49320783992423645,0.43220127031601846,0.23863547511685684
1900-12-17,1899,1,0.5925420992870783,0.4344659139986229,0.4988540144664409,0.49406203854576025
1901-01-27,1899,1,0.5948614827964879,0.5098256106034165,0.5783511213711048,0.6554484539065316
1900-12-09,1899,1,0.5808245531855494,0.4344659139986229,0.4869280901079448,0.489153136923776
1900-12-09,1899,1,0.5920508002561831,0.4344659139986229,0.4922445702991331,0.494137988694622
1900-11-12,1899,0,0.44433098702291474,0.49320783992423645,0.402543548287913,0.2310459434083499
1901-01-19,1899,1,0.4599627880650814,0.5098256106034165,0.4678576845736136,0.5553733550543837
1900-12-29,1899,1,0.47543819808902593,0.4344659139986229,0.3881626720353637,0.39613707766873435
1901-01-12,1899,1,0.4844093963776619,0.5098256106034165,0.4902836843283689,0.5766175754198302
1901-03-24,1899,1,0.49778290736808956,0.5479960356426238,0.5301329153217446,0.6611709621037571
1901-03-24,1899,1,0.49166314225543184,0.5479960356426238,0.5363071612940947,0.6639088940163239
1901-03-24,1899,1,0.5978514833474275,0.5479960356426238,0.612460389179943,0.7281423309830182
1901-05-13,1899,1,0.49208021372647465,0.47623768937042754,0.4550108892957607,0.5132815232135215
1901-05-02,1899,1,0.5903049550532002,0.47623768937042754,0.5418015152763541,0.5844407052776698
1901-05-25,1899,1,0.5659300386741759,0.47623768937042754,0.5192079423455331,0.5630954655959609
1901-05-11,1899,0,0.3518580243474755,0.47623768937042754,0.31139132811477566,0.2079291189320859
1901-05-11,1899,0,0.35524355377619626,0.47623768937042754,0.312853040890889,0.20898223273720276
1901-05-04,1899,1,0.5999030801851089,0.47623768937042754,0.5434788072016793,0.5827285862854943
1901-05-04,1899,1,0.49069190853296113,0.47623768937042754,0.45437786924575474,0.5126835724605846
1901-05-04,1899,0,0.4660674596371364,0.47623768937042754,0.41100011796182734,0.28257550582189184
1901-07-04,1899,1,0.5294586982589127,0.4511862767455832,0.43449000826163653,0.4635369311930672
1901-07-04,1899,1,0.5299199721850819,0.4511862767455832,0.4346991212336202,0.4637353276360708
1901-06-09,1899,1,0.5631989213093744,0.45422650094886746,0.49478176800758333,0.5138277952516673
1901-06-27,1899,1,0.589242933553201,0.45422650094886746,0.5017778384910686,0.5215416491134152
1901-06-27,1899,1,0.5853963666103132,0.45422650094886746,0.5051331715906421,0.5297022650557437
1901-06-27,1899,1,0.5714001083865797,0.45422650094886746,0.4985379975037956,0.5235368757302156
1901-06-27,1899,1,0.5799935006412329,0.45422650094886746,0.5025802869964447,0.5273166341181025
1901-06-27,1899,0,0.4587254677242799,0.45422650094886746,0.37357177144873427,0.30035328496575764
1901-06-27,1899,0,0.22952511908364917,0.45422650094886746,0.17471491102687892,0.17541459855603575
1901-06-03,1899,1,0.48842409585773927,0.45422650094886746,0.436765276086882,0.463075385142658
1901-06-03,1899,1,0.46640824831901323,0.45422650094886746,0.4133332285129038,0.4367910984708215
