model,auc,pr_auc,brier
claim features only,0.48384502189596096,0.5073299230008657,0.23998002643637062
economy only,0.5906303464719798,0.6453349407339823,0.250366861156473
claim + economy (additive),0.6272788655590886,0.6965460382483598,0.24508735814929072
+ direction x economy,0.6652798671959229,0.7251169927322936,0.23744734598364703
"+ direction x economy, L1 (C=0.1)",0.6690247179191888,0.7322542756374661,0.23170584548442885
