,coef
x_dir_epu,1.2635550572519456
c_direction_no_change,-0.8685152353984031
x_dir_sign,-0.4626947936010605
x_dir_stock_ret6,0.3917828856687335
c_topic_general_business,0.2957223247174045
x_dir_stock_drawdown,0.2870987862078829
c_topic_prices,-0.24689329912075772
m_unrate,0.24065380654996327
x_dir_ip_accel,0.22871078381295723
has_ip_gap,-0.18451365476364914
has_unrate,-0.16436418578856676
m_stock_ret6,-0.1588427669540208
has_stock_ret6,0.13868637539302323
has_stock_vol6,0.13868637539302323
m_stock_vol6,-0.12699457519931706
m_stock_drawdown,0.12160303633242422
c_direction_worsen,0.11846019153100187
m_ip_gap,-0.10029952898170318
m_cpi_yoy,-0.09212544135159399
has_cpi_yoy,0.07648496694284693
has_cpi_accel,0.07648496694284693
c_horizon,0.0384869539312149
m_epu,0.028624230121216062
m_ip_growth_6m,-0.02418674454457194
m_cpi_accel,0.021944952846626575
m_unrate_d6,0.018811247055032062
has_ip_growth_6m,-0.01759456564280532
m_ip_accel,0.01505494529337063
c_has_number,-0.007072819044699015
c_len,-0.003387685595040783
c_named,-0.0018641756315848843
