a,b,pooled_delta,folds_won,n_folds,mean_fold_delta,wtd_fold_delta,worst_block,best_block
L2 C=0.02,L2 C=0.5 (incumbent),0.0067781798917899705,11,22,0.001999000714412964,-0.0031413250629187253,-0.043404008506798986,0.04447783621337337
L1 C=0.05,L2 C=0.5 (incumbent),0.01026967390925193,11,22,0.0015456055691162747,-0.000381065433293856,-0.029528023296351624,0.054245283018867996
interacted (the headline),additive,0.06586160432651278,17,22,0.025745095237250982,0.04679730103028329,-0.4622839969947408,0.18436039719626174
