,0.00019999999999999985,0.0002682752976996296,0.0003598581767791244,0.000482705297525328,0.0006474895369739782,0.0008685272414454472,0.001165022021295078,0.001562733147947806,0.002096213502453885,0.002811811507063998,0.003771697845664194,0.0050592668118930656,0.006786381550512346,0.009103092653834867,0.012210674458474308,0.01637911162730229,0.021970555239349952,0.029470786237313848,0.03953141975628759,0.0530265170180354,0.0711285231949396,0.09541012867528723,0.1279809033696132,0.1716705747567527,0.23027487274567193,0.30888530019294724,0.4143314793215122,0.555774504806533,0.7455028536541849,1.0
c_direction_improve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c_direction_no_change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16154212331839954,-0.3799295434476959,-0.5531571816118369,-0.690193684022794,-0.7979789022650211,-0.8842806012383702,-0.9524031917377578,-1.0056696528549445,-1.0465505284264394,-1.0779858544321166,-1.1020581918906718,-1.1204793705891307,-1.1344328308821026,-1.144963363442067,-1.1528431003741475,-1.158740959461603
c_direction_worsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014293211236894322,0.044569903254662306,0.07000890705002645,0.09140444850537145,0.10814721545180603,0.12077033134123581,0.13120539748804502,0.14002173967985998,0.14719117856682928,0.15346885788808673,0.1582600624088039,0.16198797434126022,0.16478531846837985,0.1668816744019848,0.16853457820458656,0.1697730871518329
c_direction_infrequent_sklearn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c_topic_employment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028421964413017985,-0.1675260925984574,-0.27399022845936394,-0.35489517414395305,-0.4160499004244318,-0.4599190747349195,-0.49271461691179363,-0.5173553744517722,-0.535851607229579,-0.5497484112788541,-0.5601469474365488
c_topic_general_business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02906965438893346,0.11636576313978923,0.18288943740845048,0.24131090489162693,0.26071461403439744,0.27261380729013407,0.2814032612399399,0.2874187788541708,0.2921735195582862,0.29491624527648425,0.2906585055616511,0.2870547375898055,0.2845370045560685,0.28285139251768465,0.283822128515879,0.2846316996595806,0.2852456612885224,0.2857033928923274,0.2861526816764509,0.2864993373450757
c_topic_markets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c_topic_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002231460362347456,0.008277063287299534,0.014464558157643899,0.01909733496888892,0.022563160109363736,0.025571100903247705,0.02783709912793761
c_topic_prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06554656256552571,-0.12440772789787022,-0.16913317474648074,-0.20367633737005436,-0.23040565552755657,-0.2523029419241357,-0.27671975852147757,-0.29517731659608304,-0.3091131838821128,-0.3196287431151317,-0.325230963859776,-0.3294410573161225,-0.3326149140588132,-0.3349956906556123,-0.33689099645390885,-0.33830300819140807
