episode,kind,period,n_improve,n_worsen,n,net_optimism
1957 Recession,crisis,1958-05,7,0,7,1.0
1957 Recession,crisis,1958-06,11,3,14,0.5714285714285714
1965 Calm (control),control,1965-03,1,1,2,0.0
1965 Calm (control),control,1965-04,1,0,1,1.0
1965 Calm (control),control,1965-05,4,1,5,0.6
1965 Calm (control),control,1965-06,11,0,11,1.0
1965 Calm (control),control,1965-07,2,3,5,-0.2
1965 Calm (control),control,1965-08,5,1,6,0.6666666666666666
1965 Calm (control),control,1965-09,2,1,3,0.3333333333333333
1973 Oil Shock,crisis,1973-10,2,6,8,-0.5
1973 Oil Shock,crisis,1973-11,5,3,8,0.25
1973 Oil Shock,crisis,1973-12,3,8,11,-0.45454545454545453
1973 Oil Shock,crisis,1974-01,2,7,9,-0.5555555555555556
1973 Oil Shock,crisis,1974-02,5,3,8,0.25
1973 Oil Shock,crisis,1974-03,0,1,1,-1.0
1973 Oil Shock,crisis,1974-04,3,2,5,0.2
1980 Recession,crisis,1980-01,1,4,5,-0.6
1980 Recession,crisis,1980-02,0,2,2,-1.0
1980 Recession,crisis,1980-03,0,5,5,-1.0
1980 Recession,crisis,1980-04,1,1,2,0.0
1980 Recession,crisis,1980-05,1,2,3,-0.3333333333333333
1980 Recession,crisis,1980-07,4,2,6,0.3333333333333333
1987 Crash,crisis,1987-11,2,1,3,0.3333333333333333
1987 Crash,crisis,1987-12,1,0,1,1.0
1987 Crash,crisis,1988-01,3,1,4,0.5
1987 Crash,crisis,1988-03,2,0,2,1.0
1990 Recession,crisis,1990-10,0,2,2,-1.0
1990 Recession,crisis,1990-11,1,0,1,1.0
1990 Recession,crisis,1990-12,1,3,4,-0.5
1990 Recession,crisis,1991-01,1,0,1,1.0
1995 Calm (control),control,1995-03,2,0,2,1.0
1995 Calm (control),control,1995-05,0,3,3,-1.0
1995 Calm (control),control,1995-06,1,5,6,-0.6666666666666666
1995 Calm (control),control,1995-07,1,1,2,0.0
1995 Calm (control),control,1995-08,0,1,1,-1.0
2001 Dot-com Bust,crisis,2001-03,0,4,4,-1.0
2001 Dot-com Bust,crisis,2001-04,1,5,6,-0.6666666666666666
2001 Dot-com Bust,crisis,2001-05,1,3,4,-0.5
2001 Dot-com Bust,crisis,2001-06,2,2,4,0.0
2001 Dot-com Bust,crisis,2001-07,2,3,5,-0.2
2001 Dot-com Bust,crisis,2001-08,5,4,9,0.1111111111111111
2001 Dot-com Bust,crisis,2001-09,3,2,5,0.2
2005 Calm (control),control,2005-03,4,0,4,1.0
2005 Calm (control),control,2005-04,2,2,4,0.0
2005 Calm (control),control,2005-05,1,2,3,-0.3333333333333333
2005 Calm (control),control,2005-07,1,2,3,-0.3333333333333333
2005 Calm (control),control,2005-08,0,2,2,-1.0
2005 Calm (control),control,2005-09,1,4,5,-0.6
2008 Financial Crisis,crisis,2008-09,0,1,1,-1.0
2008 Financial Crisis,crisis,2008-10,2,5,7,-0.42857142857142855
2008 Financial Crisis,crisis,2008-11,1,0,1,1.0
2008 Financial Crisis,crisis,2009-01,0,2,2,-1.0
2008 Financial Crisis,crisis,2009-02,1,1,2,0.0
2008 Financial Crisis,crisis,2009-03,1,1,2,0.0
