date,unemployment_rate,recession_flag,gdp_growth_yoy,cpi_inflation_yoy,consumer_sentiment,initial_claims
2002-01-01,5.5,0,0.48923629256110157,1.894374282433997,88.8,416000
2002-01-02,5.5,0,0.48923629256110157,1.894374282433997,88.8,416000
2002-01-03,5.5,0,0.48923629256110157,1.894374282433997,88.8,416000
2002-01-04,5.5,0,0.48923629256110157,1.894374282433997,88.8,416000
2002-01-05,5.5,0,0.48923629256110157,1.894374282433997,88.8,421000
2002-01-06,5.5,0,0.48923629256110157,1.894374282433997,88.8,421000
2002-01-07,5.5,0,0.48923629256110157,1.894374282433997,88.8,421000
2002-01-08,5.5,0,0.48923629256110157,1.894374282433997,88.8,421000
2002-01-09,5.5,0,0.48923629256110157,1.894374282433997,88.8,421000
2002-01-10,5.5,0,0.48923629256110157,1.894374282433997,88.8,421000
2002-01-11,5.5,0,0.48923629256110157,1.894374282433997,88.8,421000
2002-01-12,5.5,0,0.48923629256110157,1.894374282433997,88.8,397000
2002-01-13,5.5,0,0.48923629256110157,1.894374282433997,88.8,397000
2002-01-14,5.5,0,0.48923629256110157,1.894374282433997,88.8,397000
2002-01-15,5.7,0,0.48923629256110157,1.603665521191311,88.8,397000
2002-01-16,5.7,0,0.48923629256110157,1.603665521191311,88.8,397000
2002-01-17,5.7,0,0.48923629256110157,1.603665521191311,88.8,397000
2002-01-18,5.7,0,0.48923629256110157,1.603665521191311,88.8,397000
2002-01-19,5.7,0,0.48923629256110157,1.603665521191311,88.8,418000
2002-01-20,5.7,0,0.48923629256110157,1.603665521191311,88.8,418000
2002-01-21,5.7,0,0.48923629256110157,1.603665521191311,88.8,418000
2002-01-22,5.7,0,0.48923629256110157,1.603665521191311,88.8,418000
2002-01-23,5.7,0,0.48923629256110157,1.603665521191311,88.8,418000
2002-01-24,5.7,0,0.48923629256110157,1.603665521191311,88.8,418000
2002-01-25,5.7,0,0.48923629256110157,1.603665521191311,88.8,418000
2002-01-26,5.7,0,0.48923629256110157,1.603665521191311,88.8,405000
2002-01-27,5.7,0,0.48923629256110157,1.603665521191311,88.8,405000
2002-01-28,5.7,0,0.48923629256110157,1.603665521191311,88.8,405000
2002-01-29,5.7,0,0.16731829373148877,1.603665521191311,88.8,405000
2002-01-30,5.7,0,0.16731829373148877,1.603665521191311,88.8,405000
2002-01-31,5.7,0,0.16731829373148877,1.603665521191311,93.0,405000
2002-02-01,5.7,0,0.16731829373148877,1.603665521191311,93.0,405000
2002-02-02,5.7,0,0.16731829373148877,1.603665521191311,93.0,414000
2002-02-03,5.7,0,0.16731829373148877,1.603665521191311,93.0,414000
2002-02-04,5.7,0,0.16731829373148877,1.603665521191311,93.0,414000
2002-02-05,5.7,0,0.16731829373148877,1.603665521191311,93.0,414000
2002-02-06,5.7,0,0.16731829373148877,1.603665521191311,93.0,414000
2002-02-07,5.7,0,0.16731829373148877,1.603665521191311,93.0,414000
2002-02-08,5.7,0,0.16731829373148877,1.603665521191311,93.0,414000
2002-02-09,5.7,0,0.16731829373148877,1.603665521191311,93.0,404000
2002-02-10,5.7,0,0.16731829373148877,1.603665521191311,93.0,404000
2002-02-11,5.7,0,0.16731829373148877,1.603665521191311,93.0,404000
2002-02-12,5.7,0,0.16731829373148877,1.603665521191311,93.0,404000
2002-02-13,5.7,0,0.16731829373148877,1.603665521191311,93.0,404000
2002-02-14,5.7,0,0.16731829373148877,1.603665521191311,93.0,404000
2002-02-15,5.7,0,0.16731829373148877,1.1958997722095743,93.0,404000
2002-02-16,5.7,0,0.16731829373148877,1.1958997722095743,93.0,397000
2002-02-17,5.7,0,0.16731829373148877,1.1958997722095743,93.0,397000
2002-02-18,5.7,0,0.16731829373148877,1.1958997722095743,93.0,397000
2002-02-19,5.7,0,0.16731829373148877,1.1958997722095743,93.0,397000
