start,model,k,months,onsets,auc,eras_won,n_eras
1930,Five press series,5,303,72,0.6413540163540162,2,4
1930,Attention alone,1,303,72,0.6162818662818663,2,4
1940,Five press series,5,236,60,0.7338068181818181,1,3
1940,Attention alone,1,236,60,0.7285037878787879,2,3
1950,Five press series,5,137,36,0.7728272827282727,1,2
1950,Attention alone,1,137,36,0.7070957095709572,1,2
