C,net_direction,disagreement,hedge_rate,share_expert,attention,nonzero
1.0,0.4016916838137802,0.8085080203264693,0.039769703901453415,0.34268156110152564,0.48485357820324165,5
0.5,0.3414154478581853,0.7404298566702219,0.037048426493459866,0.32095807184176356,0.47830829365752947,5
0.2,0.19018191599739526,0.5693416355374149,0.026452162401277686,0.2643289024571758,0.46459953168981205,5
0.1,0.0062301424899164504,0.36187494887667654,0.0023759613691411996,0.19194742732656583,0.45510218707054956,5
0.05,0.0,0.24408148745754857,0.0,0.07792274927530687,0.3791811417635377,3
0.02,0.0,0.0018029074702387371,0.0,0.0,0.16699546912501143,2
0.01,0.0,0.0,0.0,0.0,0.0,0
