model,n_features,start,months,onsets,auc,ci_lo,ci_hi
Five press series,5,1930,303,72,0.6413540163540162,0.363529288457863,0.8605646378269618
Attention alone,1,1930,303,72,0.6162818662818663,0.39517327793653184,0.8133581235697941
Five press series,5,1940,236,60,0.7338068181818181,0.4424100156494522,0.9913441975686561
Attention alone,1,1940,236,60,0.7285037878787879,0.4842811223148637,0.9323712520704459
Five press series,5,1950,137,36,0.7728272827282727,0.47025089605734766,0.9987468671679197
Attention alone,1,1950,137,36,0.7070957095709572,0.3648745519713262,0.9668360169291154
