period,months,onsets,base_rate,auc
1900s,65,36,0.5538461538461539,0.7432950191570881
1910s,63,32,0.5079365079365079,0.30745967741935487
1920s,67,36,0.5373134328358209,0.8933691756272402
1930s,67,12,0.1791044776119403,0.1606060606060606
1940s,99,24,0.24242424242424243,0.6355555555555557
1950s,100,33,0.33,0.8285843509724107
1960-63,37,3,0.08108108108108109,0.284313725490196
