period,months,onsets,base_rate,auc,brier
1930s,67,12,0.1791044776119403,0.11515151515151516,0.4246720595967713
1940s,99,24,0.24242424242424243,0.6816666666666668,0.19165949580081443
1950s,100,33,0.33,0.8123021257349616,0.15400635376223748
1960-63,37,3,0.08108108108108109,0.3333333333333333,0.21273831358089246
1933-1963 (all),303,72,0.2376237623762376,0.6413540163540162,0.23333092757749532
