timestamp,source,arm,window,phrase,total_hits,pages_fetched
2026-07-28T21:18:10,loc,elections,1948,will be elected,2,1
2026-07-28T21:18:17,loc,elections,1948,will be elected,2,1
2026-07-28T21:18:22,loc,elections,1948,will be elected,2,1
