source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1970-05-20,+1..+4Q,2.7,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1970-06-17,+1..+4Q,2.575,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1970-07-15,+1..+4Q,2.8333333333333335,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1970-08-12,+1..+4Q,3.0666666666666664,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1970-09-09,+1..+4Q,3.0,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1970-10-14,+1..+4Q,3.3499999999999996,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1970-11-11,+1..+4Q,3.0250000000000004,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1970-12-09,+1..+4Q,3.575,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1970
greenbook,fed_staff,general_business,1971-01-06,+1..+4Q,2.7000000000000006,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-02-03,+1..+4Q,3.7000000000000006,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-03-03,+1..+4Q,3.7000000000000006,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-03-31,+1..+4Q,3.766666666666667,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-04-28,+1..+4Q,4.2,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-06-02,+1..+4Q,3.7,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-06-23,+1..+4Q,4.1,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-07-21,+1..+4Q,5.233333333333333,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-08-20,+1..+4Q,6.6,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-09-15,+1..+4Q,7.066666666666666,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-10-13,+1..+4Q,7.5,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-11-10,+1..+4Q,6.25,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1971-12-08,+1..+4Q,6.475,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1971
greenbook,fed_staff,general_business,1972-01-07,+1..+4Q,6.766666666666667,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-02-09,+1..+4Q,6.433333333333334,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-03-15,+1..+4Q,6.5,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-04-12,+1..+4Q,7.15,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-05-17,+1..+4Q,7.85,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-06-14,+1..+4Q,7.6,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-07-12,+1..+4Q,6.075,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-08-09,+1..+4Q,5.949999999999999,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-09-13,+1..+4Q,6.4,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-10-11,+1..+4Q,5.45,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-11-15,+1..+4Q,5.275,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1972-12-13,+1..+4Q,5.3500000000000005,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1972
greenbook,fed_staff,general_business,1973-01-10,+1..+4Q,5.333333333333333,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-02-07,+1..+4Q,4.933333333333334,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-03-14,+1..+4Q,4.966666666666667,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-04-11,+1..+4Q,4.3,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-05-09,+1..+4Q,4.35,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-06-18,+1..+4Q,2.8,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-07-11,+1..+4Q,1.8,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-08-15,+1..+4Q,1.5999999999999999,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-09-12,+1..+4Q,1.95,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-10-10,+1..+4Q,1.725,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-11-14,+1..+4Q,2.375,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
greenbook,fed_staff,general_business,1973-12-12,+1..+4Q,0.37499999999999994,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1973
