month,n_claims,n_directional,net_direction,share_worsen,share_improve,disagreement,hedge_rate,mean_horizon,share_named,share_expert,share_official,share_journalist,n_all_claims,n_pages,attention
1900-01,11.0,11.0,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.7272727272727273,0.36363636363636365,7.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.7272727272727273,41,30,136.66666666666666
1900-02,17.0,17.0,0.29411764705882354,0.35294117647058826,0.6470588235294118,0.7058823529411764,0.5294117647058824,6.0,0.29411764705882354,0.4117647058823529,0.058823529411764705,0.47058823529411764,47,29,162.06896551724137
1900-03,28.0,27.0,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.2222222222222222,0.42857142857142855,6.0,0.35714285714285715,0.5,0.07142857142857142,0.42857142857142855,59,30,196.66666666666666
1900-04,15.0,15.0,0.7333333333333333,0.13333333333333333,0.8666666666666667,0.2666666666666667,0.4666666666666667,12.0,0.4666666666666667,0.5333333333333333,0.06666666666666667,0.4,44,30,146.66666666666666
1900-05,31.0,29.0,0.4482758620689655,0.27586206896551724,0.7241379310344828,0.5517241379310345,0.2903225806451613,6.0,0.3548387096774194,0.4838709677419355,0.0,0.5161290322580645,57,29,196.55172413793105
1900-06,26.0,26.0,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.7692307692307692,0.38461538461538464,6.0,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.46153846153846156,56,30,186.66666666666666
1900-07,11.0,11.0,0.09090909090909091,0.45454545454545453,0.5454545454545454,0.9090909090909091,0.18181818181818182,8.0,0.18181818181818182,0.45454545454545453,0.0,0.5454545454545454,52,30,173.33333333333334
1900-08,28.0,28.0,0.5714285714285714,0.21428571428571427,0.7857142857142857,0.4285714285714286,0.32142857142857145,12.0,0.25,0.2857142857142857,0.0,0.6428571428571429,59,29,203.44827586206895
1900-09,24.0,22.0,0.0,0.5,0.5,1.0,0.5,12.0,0.2916666666666667,0.25,0.041666666666666664,0.7083333333333334,79,29,272.41379310344826
1900-10,25.0,25.0,-0.04,0.52,0.48,0.96,0.32,9.0,0.36,0.2,0.24,0.56,35,29,120.6896551724138
1900-11,29.0,29.0,-0.5862068965517241,0.7931034482758621,0.20689655172413793,0.4137931034482759,0.1724137931034483,,0.3793103448275862,0.41379310344827586,0.06896551724137931,0.4482758620689655,44,30,146.66666666666666
1900-12,20.0,19.0,0.7894736842105263,0.10526315789473684,0.8947368421052632,0.21052631578947367,0.35,7.75,0.3,0.45,0.1,0.45,42,30,140.0
1901-01,18.0,18.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.33333333333333337,0.3888888888888889,10.5,0.1111111111111111,0.2222222222222222,0.0,0.7777777777777778,49,27,181.4814814814815
1901-02,23.0,23.0,-0.043478260869565216,0.5217391304347826,0.4782608695652174,0.9565217391304348,0.43478260869565216,12.0,0.34782608695652173,0.391304347826087,0.043478260869565216,0.5217391304347826,55,27,203.7037037037037
1901-03,40.0,39.0,0.6923076923076923,0.15384615384615385,0.8461538461538461,0.3076923076923077,0.45,9.0,0.325,0.325,0.0,0.675,71,29,244.82758620689654
1901-04,18.0,17.0,0.5294117647058824,0.23529411764705882,0.7647058823529411,0.47058823529411764,0.3888888888888889,12.0,0.2777777777777778,0.3888888888888889,0.05555555555555555,0.5,47,30,156.66666666666666
1901-05,24.0,23.0,0.043478260869565216,0.4782608695652174,0.5217391304347826,0.9565217391304348,0.5,4.5,0.2916666666666667,0.20833333333333334,0.16666666666666666,0.625,48,30,160.0
1901-06,30.0,29.0,0.5862068965517241,0.20689655172413793,0.7931034482758621,0.4137931034482759,0.4666666666666667,8.4,0.2,0.2,0.23333333333333334,0.36666666666666664,66,30,220.0
1901-07,21.0,21.0,0.047619047619047616,0.47619047619047616,0.5238095238095238,0.9523809523809523,0.38095238095238093,12.0,0.3333333333333333,0.2857142857142857,0.09523809523809523,0.6190476190476191,57,30,190.0
1901-08,16.0,16.0,0.0,0.5,0.5,1.0,0.5,12.0,0.0625,0.0625,0.0,0.9375,47,29,162.06896551724137
1901-09,27.0,26.0,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.7692307692307692,0.48148148148148145,12.0,0.37037037037037035,0.4074074074074074,0.07407407407407407,0.4444444444444444,39,30,130.0
1901-10,24.0,24.0,0.4166666666666667,0.2916666666666667,0.7083333333333334,0.5833333333333333,0.5,6.0,0.2916666666666667,0.3333333333333333,0.0,0.6666666666666666,50,29,172.41379310344828
1901-11,27.0,24.0,0.5,0.25,0.75,0.5,0.48148148148148145,10.0,0.4444444444444444,0.5185185185185185,0.0,0.48148148148148145,59,30,196.66666666666666
1901-12,25.0,23.0,0.4782608695652174,0.2608695652173913,0.7391304347826086,0.5217391304347826,0.48,7.5,0.08,0.28,0.0,0.68,60,29,206.89655172413794
1902-01,30.0,30.0,0.4,0.3,0.7,0.6,0.36666666666666664,10.166666666666666,0.2,0.3,0.13333333333333333,0.5666666666666667,76,30,253.33333333333334
1902-02,12.0,11.0,0.45454545454545453,0.2727272727272727,0.7272727272727273,0.5454545454545454,0.5,12.0,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.25,46,30,153.33333333333334
1902-03,10.0,10.0,0.6,0.2,0.8,0.4,0.1,,0.5,0.8,0.1,0.1,35,27,129.62962962962962
