term,coef,se,z,p,lo95,hi95,odds_ratio
const,-2.5410062978845653,2.2872443995200733,-1.1109465601567277,0.26659135252894295,-7.024005320943909,1.941992725174778,0.0787870766174668
p_net_direction,0.6974909842627327,0.5640818121720658,1.2365067782933095,0.21627024773309245,-0.4081093675945161,1.8030913361199814,2.00870650338642
p_net_direction_d6,-0.3350453199845764,0.48175234696659375,-0.6954721073892547,0.48675948529425295,-1.2792799200391,0.6091892800699474,0.7153056679761253
p_disagreement,1.1706966281491593,0.8273890165988114,1.4149288963994222,0.1570893445846766,-0.45098584438451095,2.7923791006828296,3.224237951280114
p_disagreement_d6,-0.29196402168071695,0.6328613611884275,-0.4613396228400613,0.6445549617333457,-1.5323722896100347,0.9484442462486009,0.7467954039335041
p_hedge_rate,-0.12777991003275382,1.2040291344564722,-0.10612692531766414,0.9154816484630897,-2.4876770135674393,2.2321171935019315,0.8800470473574747
p_hedge_rate_d6,-0.2924095733123743,0.8962527473022331,-0.326257938056583,0.7442292091167702,-2.049064958024751,1.4642458114000025,0.7464627421372735
p_share_expert,0.2976626219942618,1.0741762199103153,0.27710781199300255,0.7816973235267624,-1.8077227690299562,2.4030480130184797,1.346707361783148
p_share_expert_d6,0.09290739556869998,0.7625244530076706,0.12184185727059613,0.903024263577425,-1.4016405323263341,1.5874553234637343,1.0973601101537545
p_attention,0.06945124185911641,0.4697362293457704,0.14785157609802696,0.8824599047525317,-0.8512317676585935,0.9901342513768264,1.0719197951141965
p_attention_d6,-0.08586385728448799,0.2862454019856378,-0.29996589181473093,0.7642031726477367,-0.6469048451763381,0.4751771306073621,0.917719163494644
