term,coef,se,z,p,lo95,hi95,odds_ratio
const,-0.40957268116949,,,,,,0.6639339009854336
log_h,-1.7434275499858667,0.3719141965474726,-4.687714441046697,2.7627314829192784e-06,-2.472379375218913,-1.0144757247528204,0.17491982550891225
log_h_sq,0.278440070828769,0.13856641704657663,2.0094340083512177,0.04449112662499388,0.0068498934174787696,0.5500302482400592,1.3210674325472573
c_direction_no_change,-1.0263528059785423,0.3215306189760915,-3.1920841916920524,0.0014125015449588663,-1.6565528191716816,-0.39615279278540305,0.3583114115683104
c_direction_worsen,-0.5612836317870586,0.32104068681951725,-1.7483255388828682,0.0804076733730823,-1.1905233779533124,0.06795611437919513,0.5704763121297154
c_topic_general_business,-0.09674572887332267,,,,,,0.9077868007624367
c_topic_markets,-0.16674013753086553,,,,,,0.8464195354313424
c_topic_other,-0.1460885192918757,,,,,,0.8640812119422132
c_voice_journalist,-0.04253433511799216,0.07843869366595829,-0.54226215570507,0.5876379222136181,-0.1962741747032704,0.11120550446728611,0.9583575596361477
c_voice_layperson,-0.03386568599662888,0.11089926269839687,-0.3053734098190577,0.7600817710869354,-0.25122824088548673,0.183496868892229,0.9667013374448258
c_voice_official,0.048262886101116724,0.056432319060904394,0.8552348530817804,0.3924211449638848,-0.06234445925825589,0.15887023146048934,1.0494465039642529
c_voice_unclear,-0.2917436334690172,0.23819016723916275,-1.2248349159437901,0.22063742654154206,-0.7585963612577762,0.17510909431974175,0.7469600069747012
c_hedged,0.01503578821467955,0.04451773904811263,0.3377482445465075,0.735552915001302,-0.0722189803196212,0.1022905567489803,1.0151493943500838
c_quoted,-0.021944376579718945,0.056506218563649104,-0.38835330230071236,0.6977545969125789,-0.1326965649644712,0.0888078118050333,0.9782946496322886
c_named,-0.033271742455967666,0.053677586805257534,-0.61984422989576,0.5353603459296821,-0.13847981259427242,0.0719363276823371,0.9672756740048107
c_has_number,0.06542275311417318,0.04246837055325803,1.540505375221046,0.12343721357915172,-0.01781525317021254,0.1486607593985589,1.0676102645599435
c_len,-0.029568360234462025,0.019856982157793683,-1.4890661632012756,0.13646994691667813,-0.06848804526373764,0.009351324794813595,0.9708645068473396
