term,coef,se,z,p,lo95,hi95,odds_ratio
Intercept,-0.42044630528841676,0.017607309461603562,-23.879077391425888,0.0,-0.4549566318331597,-0.3859359787436738,0.6567536417729577
c_direction_no_change,-1.7827010243165944,0.13139561696060706,-13.567431437618314,0.0,-2.040236433559384,-1.5251656150738047,0.16818326613117424
c_direction_worsen,-0.6839627737769065,0.03465001920045902,-19.73917445240105,0.0,-0.7518768114098062,-0.6160487361440068,0.5046133564332935
c_topic_general_business,0.8575246922578446,0.02247833969164421,38.14893377452646,0.0,0.8134671464622218,0.9015822380534673,2.3573183774930455
c_topic_markets,0.5528354621944049,0.0447176162961341,12.362811526744961,0.0,0.4651889342539821,0.6404819901348278,1.738174565406516
c_topic_other,0.5283817710640372,0.07034854273465718,7.510912813887331,5.861977570020827e-14,0.3904986273041091,0.6662649148239652,1.696185270464281
c_topic_prices,0.37266615346998777,0.04436580539074713,8.399850970533953,0.0,0.2857091749041234,0.45962313203585214,1.451599647425578
c_voice_journalist,-0.023829274713842566,0.029111078387433795,-0.8185637919936627,0.41303533219249555,-0.08088698835321281,0.033228438925527674,0.9764524006438489
c_voice_layperson,-0.0499359572245532,0.11200290472339114,-0.4458451979248032,0.6557090706334505,-0.26946165048239984,0.16958973603329341,0.9512903458239101
c_voice_official,-0.07211630611812475,0.049639961064589566,-1.452787322381052,0.14628281295772227,-0.1694106298047203,0.025178017568470795,0.9304226756683731
c_voice_unclear,-0.10289137406978138,0.2509852477620748,-0.40994988744246347,0.6818427086566026,-0.5948224596834479,0.3890397115438852,0.9022249731857443
c_hedged,0.013780388904222108,0.028817322997030475,0.47819809305819727,0.6325092196570861,-0.04270156416995763,0.07026234197840184,1.0138757761174024
c_quoted,0.003843427521817638,0.02565325785121511,0.14982219974199446,0.8809048941830162,-0.046436957866563974,0.05412381291019926,1.0038508229609515
c_named,-0.025997742422845548,0.02569002656778101,-1.0119780279032664,0.31154855915729174,-0.07635019449569633,0.024354709650005232,0.9743372892478713
c_has_number,0.0004732919129350611,0.032712603878080906,0.014468182193597573,0.98845646353772,-0.06364341168810352,0.06458999551397364,1.0004734039332246
c_len,-0.01634204722109901,0.017570873518939385,-0.9300645869133459,0.3523376449039599,-0.0507809593182202,0.018096864876022186,0.9837907596033176
c_horizon,0.046165063944613206,0.017642240047400577,2.61673482622266,0.00887752775167705,0.011586273451708075,0.08074385443751833,1.0472472594546482
m_indpro_g6,-0.32261960775221016,0.017792911130057827,-18.131918121436808,0.0,-0.3574937135671235,-0.2877455019372968,0.7242493007952409
m_indpro_g12,0.42799366787393234,0.017803829259483272,24.039416556747756,0.0,0.39309816252534513,0.46288917322251955,1.534176366338661
m_indpro_accel,0.46924693237078746,0.01800349308500623,26.064215991594892,0.0,0.43396008592417523,0.5045337788173997,1.5987897429566928
m_has_indpro,0.0728853582619765,0.021912144707293756,3.326253967176276,0.0008802168850519099,0.02993755463568073,0.11583316188827225,1.0756072203650535
