term,coef,se,z,p,lo95,hi95
c_direction_no_change,-0.3388756215061924,0.05099965244876345,-6.644665311134073,3.039057894227426e-11,-0.43883494030576875,-0.238916302706616
c_direction_worsen,-0.14659939216928272,0.09086607451003924,-1.6133567226246341,0.10666702971634612,-0.32469689820895964,0.031498113870394195
c_topic_general_business,0.1579590032472107,0.06448798030514413,2.4494332509683283,0.014308122690375402,0.0315625618491282,0.2843554446452932
c_topic_markets,0.05507700501556546,0.06442979396367926,0.8548375158022977,0.39264110606062697,-0.0712053911532459,0.1813594011843768
c_topic_other,0.08904873868162597,0.06557422041341357,1.3579839473533497,0.174468777891299,-0.03947673332866464,0.21757421069191657
c_topic_prices,0.035954909179108784,0.06651226660731167,0.5405756112836526,0.588800131875959,-0.09440913337122209,0.16631895172943967
c_voice_journalist,-0.00011916957080126191,0.02239308553161434,-0.005321712840020169,0.9957539075299315,-0.04400961721276537,0.04377127807116284
c_voice_layperson,0.018738230982381476,0.030146920680044247,0.6215636807902987,0.534228808953987,-0.040349733550505244,0.0778261955152682
c_voice_official,-0.011968180450525235,0.021733950925238492,-0.5506675013527899,0.5818616266668539,-0.05456672426399268,0.030630363362942205
c_voice_unclear,0.010228649829585391,0.08152742467704321,0.12546268780234893,0.900157262406337,-0.1495651025374193,0.17002240219659007
c_hedged,-0.0017924033661649746,0.011989526400997203,-0.14949742852360667,0.8811611383082054,-0.025291875112119493,0.021707068379789543
c_quoted,0.013855184191290348,0.02520943763753499,0.5496030649513974,0.5825916561615696,-0.035555313578278236,0.06326568196085892
c_named,-0.01030357658023154,0.021840468906965796,-0.4717653555938682,0.6370942818671024,-0.0531108956378845,0.032503742477421424
c_has_number,0.002162247693582341,0.017195721140646995,0.12574335649531157,0.8999350807032063,-0.03154136574208576,0.03586586112925045
c_len,-0.00387935078241803,0.005374543175413166,-0.7218010267672297,0.47041681810083347,-0.014413455406227835,0.006654753841391775
c_horizon,0.008856943179511257,0.005094635721889057,1.7384840964109523,0.08212554997020582,-0.001128542835391294,0.01884242919441381
