term,coef,se,z,p,lo95,hi95,odds_ratio
c_direction_no_change,-1.7901601536751106,0.30117153108357453,-5.94398862081803,2.781689101283291e-09,-2.3804563545989166,-1.1998639527513046,0.1669334325233545
c_direction_worsen,-0.4762206781881086,0.3364967461694314,-1.415231153374434,0.15700073318809338,-1.1357543006801942,0.183312944303977,0.6211263980741611
c_topic_general_business,1.0329979261650315,0.36248467697980274,2.849769912405398,0.0043750866236995645,0.3225279592846181,1.743467893045445,2.8094758232184414
c_topic_markets,0.7184217699598353,0.37296995215705286,1.9262188972727678,0.054077047195824735,-0.01259933626798826,1.4494428761876588,2.051193399691302
c_topic_other,0.7100346409738933,0.35284558250783404,2.012309849332261,0.04418728482697709,0.018457299258538673,1.4016119826892481,2.0340617193052464
c_topic_prices,0.4350463866761392,0.36864312268893795,1.180128856067749,0.2379489693674195,-0.28749413379417915,1.1575869071464575,1.5450347263145936
c_voice_journalist,-0.09410434256236132,0.08322633729324656,-1.1307038808014138,0.2581797473969054,-0.2572279636571246,0.06901927853240193,0.9101877859600018
c_voice_layperson,-0.09035544146556171,0.12796351925369792,-0.7061031299586628,0.4801240054060898,-0.34116393920280963,0.16045305627168624,0.9136063939568827
c_voice_official,-0.10487447587016538,0.0897420441735108,-1.1686214286293384,0.2425561907713214,-0.28076888245024656,0.07101993070991577,0.9004375421317237
c_voice_unclear,-0.16518435968427625,0.29280446473968486,-0.5641456315604063,0.5726550252042937,-0.7390811105740586,0.40871239120550606,0.8477374010807596
c_hedged,0.02590507320344558,0.04696490196965506,0.5515836745530387,0.5812336240419784,-0.06614613465707833,0.11795628106396949,1.0262435258391134
c_quoted,-0.004847593129758827,0.1111849425287044,-0.043599367140090335,0.965223756168591,-0.22277008048601943,0.21307489422650178,0.9951641374870764
c_named,-0.04347240120085341,0.08800251036131458,-0.4939904671169885,0.6213129119425229,-0.21595732150903,0.12901251910732317,0.9574589784443622
c_has_number,0.004127642787336061,0.05921294237154695,0.0697084559898425,0.944425711250364,-0.11192972426089597,0.12018500983556808,1.0041361732376717
c_len,-0.01959199301873992,0.019116515069845564,-1.0248726270011619,0.3054232919552966,-0.05706036255563723,0.017876376518157384,0.9805986828062714
c_horizon,0.0573146070913024,0.023860321902562494,2.4020885939995247,0.016301759818446504,0.01054837616227991,0.10408083802032489,1.058988923417811
x_against_consensus,-0.4156747704213725,0.5062561323382279,-0.8210760203565529,0.41160296797916773,-1.4079367898042991,0.576587248961554,0.6598948529131725
