term,coef,se,z,p,lo95,hi95,odds_ratio
const,-0.15014665572888428,0.33401695934218634,-0.44951806047388554,0.6530579826341127,-0.8048198960395695,0.5045265845818009,0.8605817579249779
c_topic_general_business,-1.4751863916558539,0.3664979063251825,-4.025088182487367,5.6953969097106594e-05,-2.1935222880532113,-0.7568504952584962,0.22873608857331548
c_topic_markets,-0.8848689335717123,0.36375466200105055,-2.4325981932546523,0.014990926167943508,-1.5978280710937713,-0.17190979604965317,0.4127682697966863
c_topic_other,-0.6526554987215879,0.33697189946469486,-1.9368247018768632,0.05276677529951801,-1.31312042167239,0.007809424229214046,0.5206613238881928
c_voice_journalist,0.16159611485407244,0.12054343369035272,1.3405633961711614,0.18006224827034623,-0.07466901517901889,0.3978612448871638,1.1753854247279822
c_voice_layperson,0.3315415497100606,0.16615285260649085,1.9954008884534118,0.04599917412276833,0.005881958601338555,0.6572011408187827,1.3931140285597972
c_voice_official,0.32502336461229386,0.13224747826908756,2.457690451767707,0.013983364475251392,0.06581830720488224,0.5842284220197055,1.3840629836979752
c_voice_unclear,-0.02386661337116423,0.5088397535727396,-0.04690398736259991,0.9625897501379974,-1.0211925303737337,0.9734593036314053,0.9764159419029348
c_hedged,0.17336451682254175,0.05841260903106662,2.967929693575889,0.002998128991803961,0.05887580312165118,0.2878532305234323,1.1892995457724969
c_quoted,-0.014729167098845633,0.1166737467013756,-0.12624234256010203,0.8995400949457535,-0.24340971063354183,0.21395137643585055,0.9853787764600962
c_named,-0.049359495728367085,0.12126016180816244,-0.40705450984351665,0.6839679531832732,-0.28702941287236544,0.18831042141563129,0.9518388861709755
c_has_number,0.05452814448084755,0.09361379979175118,0.5824797690313637,0.5602435647424822,-0.12895490311098476,0.23801119207267987,1.056042197754886
c_len,-0.0025377412761935156,0.029412847292766064,-0.08628002759928856,0.9312438149296955,-0.060186921970014996,0.055111439417627965,0.9974654760670286
c_horizon,0.017025831166692148,0.033883263514153515,0.5024849852370394,0.6153264115504817,-0.049385365321048744,0.08343702765443305,1.0171715967149595
