term,pooled,fe_month,p_month,fe_year,p_year,fe_block,p_block
c_direction_no_change,-1.688450993998552,-1.953676865679895,0.0,-1.7901601536751106,2.781689101283291e-09,-1.7681214420912315,8.050708988349697e-10
c_direction_worsen,-0.43172678965299865,-0.4016367457107085,4.886970828010817e-10,-0.4762206781881086,0.15700073318809338,-0.5434622405776327,0.06779282393740771
c_has_number,0.034176806227641805,0.002177187791011245,0.9637948942416419,0.004127642787336061,0.944425711250364,-0.003195606621734557,0.952853252507788
c_hedged,0.009012893497475433,0.01820422424329785,0.671169701524313,0.02590507320344558,0.5812336240419784,0.018797133588648117,0.6696234282878075
c_horizon,0.038070935017971645,0.06336241575142534,0.0016119725317131905,0.0573146070913024,0.016301759818446504,0.04563651246802315,0.0387474936108585
c_len,-0.025454340777983857,-0.01890492348170467,0.3705100366349736,-0.01959199301873992,0.3054232919552966,-0.017146411166310917,0.39828433949346187
c_named,-0.0029858269641596835,0.029193558994977612,0.6999795281345582,-0.04347240120085341,0.6213129119425229,-0.0007614207414291617,0.9919853374389132
c_quoted,-0.03014043016103222,-0.016705821582868437,0.8316921784103866,-0.004847593129758827,0.965223756168591,-0.013326671507306488,0.8894464413061696
c_topic_general_business,0.8987627464072148,1.10185359601046,3.543753290813356e-08,1.0329979261650315,0.0043750866236995645,0.9174688331227984,0.003920090379474495
c_topic_markets,0.5461098208776004,0.7820091371096132,0.00015235246464939678,0.7184217699598353,0.054077047195824735,0.6134907431599453,0.06241550779754612
c_topic_other,0.6556045079528252,0.775189108602111,0.0002844662698842093,0.7100346409738933,0.04418728482697709,0.5957657406412649,0.05517709242365876
c_topic_prices,0.40596137273375393,0.4223775081209132,0.03747954174148904,0.4350463866761392,0.2379489693674195,0.34236366562320547,0.3029725118954181
c_voice_journalist,-0.04619757999258505,-0.054340315132543594,0.43552546697154737,-0.09410434256236132,0.2581797473969054,-0.025549649723538178,0.7534722267586189
c_voice_layperson,-0.027120584269956106,-0.08708205269937055,0.5358422593410745,-0.09035544146556171,0.4801240054060898,-0.05068438301467012,0.658111590496681
c_voice_official,-0.058403632642704206,-0.0910527923940597,0.16711452025494267,-0.10487447587016538,0.2425561907713214,-0.07663531765737942,0.3618082313914217
c_voice_unclear,-0.06224823692557992,-0.18099478939042346,0.5521538697932327,-0.16518435968427625,0.5726550252042937,-0.11498862410969929,0.6927598994488369
x_against_consensus,-0.3482968985289318,-0.48697805442117054,2.1492401192091393e-09,-0.4156747704213725,0.41160296797916773,-0.2790999739996059,0.5408992034083304
