term,to_too_pessimistic,to_too_optimistic
const,-0.15014665572888428,0.07049569200044596
c_topic_general_business,-1.4751863916558539,-0.6428435914748784
c_topic_markets,-0.8848689335717123,-0.27114405196142294
c_topic_other,-0.6526554987215879,-0.6328996034586842
c_voice_journalist,0.16159611485407244,0.05748405853714898
c_voice_layperson,0.3315415497100606,-0.15524634747550733
c_voice_official,0.32502336461229386,-0.0621534559171701
c_voice_unclear,-0.02386661337116423,-0.10318208626343416
c_hedged,0.17336451682254175,-0.09714398739328019
c_quoted,-0.014729167098845633,0.06751085977888505
c_named,-0.049359495728367085,-0.0160137191925091
c_has_number,0.05452814448084755,-0.09953839225401127
c_len,-0.0025377412761935156,0.04205919320454672
c_horizon,0.017025831166692148,-0.026358725761348213
