term,coef,se,z,p,lo95,hi95,odds_ratio
const,0.07049569200044596,0.27684500167172,0.2546395693429894,0.7990014944256658,-0.47212051127612525,0.6131118952770171,1.0730399467651437
c_topic_general_business,-0.6428435914748784,0.35208674869557477,-1.825810240960534,0.06787885018237172,-1.3329336189182048,0.04724643596844813,0.5257951496285669
c_topic_markets,-0.27114405196142294,0.33363046202755886,-0.8127077195337926,0.41638565424469576,-0.9250597575354382,0.3827716536125924,0.7625066479150799
c_topic_other,-0.6328996034586842,0.31968237180356673,-1.9797763632946836,0.04772866347274718,-1.2594770521936751,-0.006322154723693463,0.5310497327522902
c_voice_journalist,0.05748405853714898,0.10278524873546077,0.5592637002328629,0.5759817650768457,-0.1439750289843541,0.2589431460586521,1.0591683858266725
c_voice_layperson,-0.15524634747550733,0.18198061932967902,-0.8530927526642854,0.3936078701222798,-0.5119283613616782,0.20143566641066354,0.8562042277511881
c_voice_official,-0.0621534559171701,0.1097046698290403,-0.5665525087858863,0.5710182485587099,-0.2771746087820891,0.15286769694774888,0.9397386672666166
c_voice_unclear,-0.10318208626343416,0.32034421581241834,-0.32209754748265457,0.7473787961866618,-0.7310567492557741,0.5246925767289058,0.901962723506058
c_hedged,-0.09714398739328019,0.08010404139489129,-1.2127226754314002,0.22523586735311607,-0.2541479085272671,0.059859933740706736,0.9074253389171354
c_quoted,0.06751085977888505,0.12546999428427263,0.5380637830103685,0.5905330148435883,-0.17841032901828932,0.31343204857605944,1.0698418777810512
c_named,-0.0160137191925091,0.09351248076265771,-0.17124686525163657,0.8640296585709544,-0.1992981814873182,0.1672707431023,0.9841138187157418
c_has_number,-0.09953839225401127,0.088749902913369,-1.1215605762540741,0.2620493218919302,-0.27348820196421453,0.07441141745619197,0.9052551944139732
c_len,0.04205919320454672,0.02975633720608436,1.4134533062068797,0.15752248147494674,-0.016263227719378617,0.10038161412847206,1.042956212844066
c_horizon,-0.026358725761348213,0.03243054118710715,-0.8127747733000273,0.41634720153144444,-0.08992258648807822,0.037205134965381796,0.9739856331951776
