term,coef,se,z,p,lo95,hi95,odds_ratio
c_topic_general_business,0.5013141894084779,0.1596171700865003,3.140728463841352,0.0016852820473616248,0.1884645360389373,0.8141638427780186,1.6508894271036545
c_topic_markets,0.5152108665353333,0.16406942809479969,3.14020029519237,0.0016883235939568753,0.19363478746952595,0.8367869456011408,1.673991453361333
c_topic_other,0.02713014145943266,0.1715695529547447,0.15812911435742238,0.8743550592843634,-0.3091461823318669,0.3634064652507322,1.0275015146092539
c_voice_journalist,-0.03850400697607581,0.05919856182674962,-0.6504213242335439,0.51542010671849,-0.15453318815650507,0.07752517420435344,0.962227849108122
c_voice_layperson,-0.30779343779096957,0.11985230992365901,-2.5681060130340527,0.010225587829247651,-0.5427039652413412,-0.0728829103405979,0.7350671394203502
c_voice_official,-0.20930571311575688,0.05700233789648874,-3.671879449854105,0.00024077325694493723,-0.3210302953928748,-0.09758113083863895,0.8111472193906549
c_voice_unclear,-0.0676208721666031,0.2591332933121399,-0.2609501515698724,0.7941309489113426,-0.5755221270583972,0.44028038272519104,0.9346147448792013
c_hedged,-0.16222968314167618,0.03724815568420321,-4.355374921568992,1.3283935285546278e-05,-0.23523606828271448,-0.08922329800063789,0.8502458949630806
c_quoted,0.05204264196616088,0.0691381356016373,0.7527342401308321,0.45160963003827304,-0.08346810381304823,0.18755338774536998,1.0534206614838415
c_named,0.006844952762072364,0.0656392483018566,0.10428140082583418,0.9169460374234459,-0.12180797390956657,0.1354978794337113,1.0068684329943505
c_has_number,-0.1026836296750917,0.039892476653791156,-2.574009895806588,0.010052739793332544,-0.18087288391652237,-0.024494375433661036,0.9024124248370134
c_len,0.034563551060165856,0.017815717894718315,1.9400594050949043,0.05237247077564655,-0.0003552560134820401,0.06948235813381376,1.0351678122976944
c_horizon,-0.029538700644816097,0.017631575431877707,-1.6753296243403428,0.0938695761259356,-0.0640965884912964,0.0050191872016642075,0.9708933027172493
