horizon,spec,n,pseudo_r2,auc_in,auc_oos,llf
6,press only,754,0.009214268533141778,0.5544511378848729,0.26864035087719296,-273.16322065448276
6,macro only,519,0.039792591919911025,0.6383512544802867,0.40123456790123463,-166.3901007714104
6,press + macro,519,0.06822398902130289,0.70294703305456,0.3469135802469136,-161.46334954145323
12,press only,754,0.017097589792589907,0.5794134727061557,0.3937289562289562,-407.31902347359244
12,macro only,519,0.05723504038245908,0.6626115166261151,0.4557971014492754,-250.23445631350603
12,press + macro,519,0.09105478116105803,0.7093583851491394,0.4014492753623189,-241.25781334426625
