term,coef,se,z,p,lo95,hi95,odds_ratio
c_direction_no_change,-1.953676865679895,0.14639742790874308,-13.345021791624104,0.0,-2.2406158243810315,-1.6667379069787587,0.14175190948378943
c_direction_worsen,-0.4016367457107085,0.06454389232912432,-6.222691740725355,4.886970828010817e-10,-0.5281427746757922,-0.27513071674562484,0.6692237999582522
c_topic_general_business,1.10185359601046,0.19989360687504873,5.512200281118628,3.543753290813356e-08,0.7100621265353646,1.4936450654855555,3.009739698177495
c_topic_markets,0.7820091371096132,0.20648723685265183,3.787203262677444,0.00015235246464939678,0.3772941528784156,1.1867241213408106,2.1858595482308596
c_topic_other,0.775189108602111,0.213606627860745,3.629049886539449,0.0002844662698842093,0.3565201179950508,1.1938580992091712,2.1710026436412404
c_topic_prices,0.4223775081209132,0.20301714354195882,2.0805016795717934,0.03747954174148904,0.024463906778673883,0.8202911094631524,1.5255843364657828
c_voice_journalist,-0.054340315132543594,0.06968749805337932,-0.7797713600066389,0.43552546697154737,-0.19092781131716705,0.08224718105207987,0.9471097358758105
c_voice_layperson,-0.08708205269937055,0.14065626985347468,-0.6191124845702662,0.5358422593410745,-0.36276834161218097,0.18860423621343983,0.916601882888751
c_voice_official,-0.0910527923940597,0.06590697419249782,-1.3815350121842527,0.16711452025494267,-0.22023046181135542,0.038124877023236026,0.9129695117807731
c_voice_unclear,-0.18099478939042346,0.3044304797414836,-0.5945357033373291,0.5521538697932327,-0.7776785296837313,0.4156889509028844,0.8344397066239883
c_hedged,0.01820422424329785,0.04287955602971173,0.4245432072730402,0.671169701524313,-0.06583970557493715,0.10224815406153284,1.0183709311871836
c_quoted,-0.016705821582868437,0.07860387137586922,-0.2125317912521672,0.8316921784103866,-0.1707694094795721,0.13735776631383523,0.9834329468331301
c_named,0.029193558994977612,0.07575892780098413,0.3853481014365462,0.6999795281345582,-0.11929393949495129,0.1776810574849065,1.0296238681500267
c_has_number,0.002177187791011245,0.04796417876438397,0.04539195389347365,0.9637948942416419,-0.09183260258718134,0.09618697816920382,1.002179559585318
c_len,-0.01890492348170467,0.021110592003498418,-0.8955183956267911,0.3705100366349736,-0.06028168380856157,0.02247183684515223,0.981272653795239
c_horizon,0.06336241575142534,0.02009125168382433,3.1537316215315276,0.0016119725317131905,0.023983562451129654,0.10274126905172104,1.0654128916850532
x_against_consensus,-0.48697805442117054,0.08135138848996606,-5.986106241828125,2.1492401192091393e-09,-0.646426775861504,-0.3275293329808371,0.6144805179273077
