term,coef,se,z,p,lo95,hi95,odds_ratio,se_naive,se_ratio,design_effect,n_eff,se_boot,boot_lo95,boot_hi95
const,-0.46570375100913525,0.3723342777298933,-1.2507678687240718,0.21101918089537963,-1.1954789353597262,0.2640714333414556,0.6276932099858261,0.17673119320787914,2.1067830243862895,4.438534711842241,3210.7442940521773,0.48545490184928725,-1.654631576208192,0.15885668564203034
c_direction_no_change,-1.6962092123353958,0.2915122576548949,-5.818654851705904,5.932308644318596e-09,-2.26757323733899,-1.1248451873318017,0.1833773527500099,0.132731662725057,2.1962525871369456,4.823525426505727,2954.4780507819887,0.28853613629510666,-2.319563460978613,-1.2287991245138676
c_direction_worsen,-0.6116383851086181,0.38488674912522697,-1.5891385881658793,0.11202910752183604,-1.366016413394063,0.14273964317682675,0.5424613799636818,0.04066342695654709,9.46518230095355,89.58967599028435,159.0696678213845,0.3621213624929624,-1.3719861193790954,0.06432656641406674
c_topic_general_business,0.8368170748995618,0.309978628585036,2.6995960293114174,0.006942371703611894,0.22925896287289127,1.4443751869262322,2.309005875320788,0.16664857796333551,1.8600736494327281,3.4598739813139874,4118.9361453528345,0.42834929972679214,0.3525738671531038,1.9483011890472859
c_topic_markets,0.4833812484964138,0.3182300266142106,1.5189680673421038,0.1287705339874181,-0.14034960366743904,1.1071121006602667,1.6215479999175422,0.17123351417306434,1.8584564368198278,3.4538603275570505,4126.107789100977,0.4436531144377704,0.011196896191018263,1.6636559026506617
c_topic_other,0.5867320968953418,0.2995189841787161,1.9589145526256602,0.05012279446198398,-0.0003251120949416819,1.1737893058856252,1.7981027781383667,0.17872211691715034,1.6758921019135151,2.8086143372561,5074.0323478953105,0.41426252109525413,0.149519668180692,1.649923830366755
c_topic_prices,0.43506844390468136,0.32489412772308696,1.3391083641730144,0.18053539795469087,-0.20172404643256903,1.0718609342419319,1.5450688058745063,0.17026435282582256,1.9081746844299696,3.641130626299414,3913.8941890924966,0.43771320113359297,-0.11051618524263503,1.621432020889914
c_voice_journalist,-0.036364133189733625,0.07919231435327341,-0.45918765585653726,0.646099414245332,-0.19158106932214952,0.11885280294268226,0.9642890998806153,0.057286336475475,1.3823944630702059,1.9110144515271628,7457.295777439828,0.07635006331602226,-0.16426280074153288,0.1121757831761956
c_voice_layperson,-0.01556535300019066,0.11162676134962168,-0.13944105169762155,0.8891016346446894,-0.23435380524544916,0.20322309924506785,0.9845551610155369,0.11680748562875885,0.9556473264427359,0.913261812537149,15604.50662051558,0.10714474240821498,-0.23371611901920236,0.18111312134269497
c_voice_official,-0.05082351868552462,0.0826660812226776,-0.6148049832992727,0.5386835179135185,-0.2128490378819727,0.11120200051092347,0.9504463917607165,0.054763732589780706,1.5095041428586566,2.2786027573074477,6254.271374989449,0.08262311292145726,-0.2064799389340533,0.10423768689991773
c_voice_unclear,-0.031034575637860672,0.3081529500210943,-0.10071159674355294,0.9197794053133648,-0.6350143576792054,0.572945206403484,0.9694420534191815,0.25322980658541827,1.2168905160741794,1.4808225281112828,9623.705561919332,0.3162801528744143,-0.5486052954799372,0.6340256829174764
c_hedged,-0.00227407734554999,0.04624085965298349,-0.049178959098422924,0.960776679180555,-0.09290616226539762,0.08835800757429764,0.9977285064094128,0.036235244150397604,1.2761293800327849,1.6285061945828598,8750.964563355792,0.04317074114228527,-0.07904048051376905,0.08897033290231096
c_quoted,-0.011255099492750767,0.09898411466247208,-0.1137061187154096,0.9094707619503604,-0.20526396423119603,0.18275376524569448,0.9888080021791371,0.06589523597457993,1.502143716438874,2.2564357448367924,6315.712748572316,0.09578628441805143,-0.19233220698363018,0.17441044493804572
c_named,-0.024979690620067222,0.07463446493061296,-0.3346937724185553,0.7378560996784471,-0.1712632418840686,0.12130386064393417,0.9753297201690331,0.0630151162704279,1.1843898630658856,1.402779347733227,10159.117343029331,0.07336458418433073,-0.1788243788170045,0.10968037678422972
c_has_number,0.02698798294878747,0.08030604529989403,0.3360641511856777,0.7368224910232162,-0.13041186583900485,0.18438783173657977,1.02735545690617,0.03927694669200717,2.0446101864694146,4.180430814614494,3408.978794764286,0.07848520215694636,-0.11614255450366956,0.17360672965358298
c_len,-0.02281517343880856,0.02072007250584982,-1.1011145560599385,0.2708468026294413,-0.0634265155502742,0.017796168672657084,0.9774431245306251,0.017457295689807986,1.1869004726743975,1.408732732034708,10116.184337831433,0.021048628194621666,-0.0656143531675221,0.016742563908866186
c_horizon,0.03924519796379356,0.02215361405548189,1.7715031897507656,0.07647706272483257,-0.004175885584950939,0.08266628151253806,1.0400254645146785,0.01726655588452154,1.2830360729519494,1.64618156449596,8657.003763958124,0.023439328642930392,-0.002976753829910071,0.08863282108682423
m_indpro_g6,-0.0920684239353839,0.16858341708887353,-0.5461297767315241,0.5849767327755475,-0.42249192142957603,0.23835507355880825,0.9120427418563888,0.13178839354339636,1.2791977544924016,1.6363468950984026,8709.033544591417,0.22246204735728192,-0.34886972075424877,0.5014788078400694
m_indpro_g12,0.23331393013703486,0.31236644943816017,0.7469237831293546,0.45510956884210363,-0.37892431076175903,0.8455521710358287,1.2627778411297592,0.20132018608099186,1.55159030755363,2.407432482494368,5919.584496606268,0.37537690399702794,-0.7803728574775848,0.725570320835113
m_indpro_accel,0.2740304589818791,0.18506780352332836,1.4807030383722943,0.13868572397961776,-0.08870243592384447,0.6367633538876027,1.3152548629526541,0.13255267687737704,1.3961830713877807,1.9493271688298168,7310.727633553115,0.23202229811069444,-0.35567522033278304,0.5635788332809059
m_has_indpro,0.08041038963941263,0.2715577222581812,0.29610791021057076,0.7671476732599856,-0.45184274598662255,0.6126635252654478,1.0837317286999402,0.03854473508058564,7.045261089236554,49.63570381551064,287.11187521323535,0.27338754002575033,-0.3832281701111075,0.6644626883868455
